"",BBSSY.D.REN.EUR.A630.000000WT1010.A,BBSSY.D.REN.EUR.A630.000000WT1010.A_FLAGS,BBSSY.D.REN.EUR.A620.000000WT0505.A,BBSSY.D.REN.EUR.A620.000000WT0505.A_FLAGS,BBSSY.D.REN.EUR.A610.000000WT0202.A,BBSSY.D.REN.EUR.A610.000000WT0202.A_FLAGS
"",Daily yield of the current 10 year federal bond,,Daily yield of the current five-year Federal notes,,Daily yield of the current (two-year) Federal Treasury notes,
unit,PROZENT,,PROZENT,,PROZENT,
unit multiplier,one,,one,,one,
last update,2024-04-29 12:32:56,,2024-04-29 12:32:55,,2024-04-29 12:32:41,
2001-10-01,4.78,,,,,
2001-10-02,4.75,,,,,
2001-10-03,4.68,,,,,
2001-10-04,4.68,,,,,
2001-10-05,4.66,,,,,
2001-10-06,.,No value available,,,,
2001-10-07,.,No value available,,,,
2001-10-08,4.63,,,,,
2001-10-09,4.66,,,,,
2001-10-10,4.70,,,,,
2001-10-11,4.66,,,,,
2001-10-12,4.70,,,,,
2001-10-13,.,No value available,,,,
2001-10-14,.,No value available,,,,
2001-10-15,4.67,,,,,
2001-10-16,4.66,,,,,
2001-10-17,4.67,,,,,
2001-10-18,4.63,,,,,
2001-10-19,4.59,,,,,
2001-10-20,.,No value available,,,,
2001-10-21,.,No value available,,,,
2001-10-22,4.61,,,,,
2001-10-23,4.61,,,,,
2001-10-24,4.59,,,,,
2001-10-25,4.55,,,,,
2001-10-26,4.48,,,,,
2001-10-27,.,No value available,,,,
2001-10-28,.,No value available,,,,
2001-10-29,4.45,,,,,
2001-10-30,4.43,,,,,
2001-10-31,4.42,,,,,
2001-11-01,4.30,,,,,
2001-11-02,4.31,,,,,
2001-11-03,.,No value available,,,,
2001-11-04,.,No value available,,,,
2001-11-05,4.31,,,,,
2001-11-06,4.31,,,,,
2001-11-07,4.26,,,,,
2001-11-08,4.24,,,,,
2001-11-09,4.31,,,,,
2001-11-10,.,No value available,,,,
2001-11-11,.,No value available,,,,
2001-11-12,4.35,,,,,
2001-11-13,4.37,,,,,
2001-11-14,4.43,,,,,
2001-11-15,4.55,,,,,
2001-11-16,4.56,,,,,
2001-11-17,.,No value available,,,,
2001-11-18,.,No value available,,,,
2001-11-19,4.57,,,,,
2001-11-20,4.51,,,,,
2001-11-21,4.53,,,,,
2001-11-22,4.63,,,,,
2001-11-23,4.57,,,,,
2001-11-24,.,No value available,,,,
2001-11-25,.,No value available,,,,
2001-11-26,4.58,,,,,
2001-11-27,4.64,,,,,
2001-11-28,4.64,,,,,
2001-11-29,4.62,,,,,
2001-11-30,4.55,,,,,
2001-12-01,.,"No value available, comment",,,,
2001-12-02,.,No value available,,,,
2001-12-03,4.51,,,,,
2001-12-04,4.52,,,,,
2001-12-05,4.53,,,,,
2001-12-06,4.74,,,,,
2001-12-07,4.76,,,,,
2001-12-08,.,No value available,,,,
2001-12-09,.,No value available,,,,
2001-12-10,4.80,,,,,
2001-12-11,4.78,,,,,
2001-12-12,4.73,,,,,
2001-12-13,4.69,,,,,
2001-12-14,4.75,,,,,
2001-12-15,.,No value available,,,,
2001-12-16,.,No value available,,,,
2001-12-17,4.82,,,,,
2001-12-18,4.81,,,,,
2001-12-19,4.78,,,,,
2001-12-20,4.78,,,,,
2001-12-21,4.79,,,,,
2001-12-22,.,No value available,,,,
2001-12-23,.,No value available,,,,
2001-12-24,.,No value available,,,,
2001-12-25,.,No value available,,,,
2001-12-26,.,No value available,,,,
2001-12-27,4.94,,,,,
2001-12-28,4.94,comment,,,,
2001-12-29,.,No value available,,,,
2001-12-30,.,No value available,,,,
2001-12-31,.,No value available,,,,
2002-01-01,.,No value available,,,,
2002-01-02,4.93,comment,,,,
2002-01-03,4.96,,,,,
2002-01-04,4.94,,,,,
2002-01-05,.,No value available,,,,
2002-01-06,.,No value available,,,,
2002-01-07,4.95,,,,,
2002-01-08,4.84,,,,,
2002-01-09,4.88,,,,,
2002-01-10,4.89,,,,,
2002-01-11,4.84,,,,,
2002-01-12,.,No value available,,,,
2002-01-13,.,No value available,,,,
2002-01-14,4.77,,,,,
2002-01-15,4.77,,,,,
2002-01-16,4.75,,,,,
2002-01-17,4.78,,,,,
2002-01-18,4.81,,,,,
2002-01-19,.,No value available,,,,
2002-01-20,.,No value available,,,,
2002-01-21,4.83,,,,,
2002-01-22,4.83,,,,,
2002-01-23,4.84,,,,,
2002-01-24,4.85,,,,,
2002-01-25,4.90,,,,,
2002-01-26,.,No value available,,,,
2002-01-27,.,No value available,,,,
2002-01-28,4.95,,,,,
2002-01-29,4.97,,,,,
2002-01-30,4.92,,,,,
2002-01-31,4.93,,,,,
2002-02-01,4.91,,,,,
2002-02-02,.,No value available,,,,
2002-02-03,.,No value available,,,,
2002-02-04,4.85,,,,,
2002-02-05,4.83,,,,,
2002-02-06,4.82,,,,,
2002-02-07,4.86,,,,,
2002-02-08,4.93,,,,,
2002-02-09,.,No value available,,,,
2002-02-10,.,No value available,,,,
2002-02-11,4.92,,,,,
2002-02-12,4.93,,,,,
2002-02-13,4.99,,,,,
2002-02-14,4.99,,,,,
2002-02-15,4.95,,,,,
2002-02-16,.,No value available,,,,
2002-02-17,.,No value available,,,,
2002-02-18,4.92,,,,,
2002-02-19,4.90,,,,,
2002-02-20,4.97,,,,,
2002-02-21,4.97,,,,,
2002-02-22,4.93,,,,,
2002-02-23,.,No value available,,,,
2002-02-24,.,No value available,,,,
2002-02-25,4.93,,,,,
2002-02-26,4.98,,,,,
2002-02-27,5.01,,,,,
2002-02-28,4.94,,,,,
2002-03-01,4.96,,,,,
2002-03-02,.,No value available,,,,
2002-03-03,.,No value available,,,,
2002-03-04,5.04,,,,,
2002-03-05,5.04,,,,,
2002-03-06,5.13,,,,,
2002-03-07,5.14,,,,,
2002-03-08,5.16,,,,,
2002-03-09,.,No value available,,,,
2002-03-10,.,No value available,,,,
2002-03-11,5.15,,,,,
2002-03-12,5.15,,,,,
2002-03-13,5.18,,,,,
2002-03-14,5.19,,,,,
2002-03-15,5.24,,,,,
2002-03-16,.,No value available,,,,
2002-03-17,.,No value available,,,,
2002-03-18,5.22,,,,,
2002-03-19,5.19,,,,,
2002-03-20,5.17,,,,,
2002-03-21,5.23,,,,,
2002-03-22,5.23,,,,,
2002-03-23,.,No value available,,,,
2002-03-24,.,No value available,,,,
2002-03-25,5.28,,,,,
2002-03-26,5.24,,,,,
2002-03-27,5.21,,,,,
2002-03-28,5.20,,,,,
2002-03-29,.,No value available,,,,
2002-03-30,.,No value available,,,,
2002-03-31,.,No value available,,,,
2002-04-01,.,No value available,,,,
2002-04-02,5.26,,,,,
2002-04-03,5.22,,,,,
2002-04-04,5.17,,,,,
2002-04-05,5.15,,,,,
2002-04-06,.,No value available,,,,
2002-04-07,.,No value available,,,,
2002-04-08,5.13,,,,,
2002-04-09,5.18,,,,,
2002-04-10,5.15,,,,,
2002-04-11,5.19,,,,,
2002-04-12,5.15,,,,,
2002-04-13,.,No value available,,,,
2002-04-14,.,No value available,,,,
2002-04-15,5.12,,,,,
2002-04-16,5.13,,,,,
2002-04-17,5.19,,,,,
2002-04-18,5.21,,,,,
2002-04-19,5.19,,,,,
2002-04-20,.,No value available,,,,
2002-04-21,.,No value available,,,,
2002-04-22,5.17,,,,,
2002-04-23,5.16,,,,,
2002-04-24,5.18,,,,,
2002-04-25,5.11,,,,,
2002-04-26,5.12,,,,,
2002-04-27,.,No value available,,,,
2002-04-28,.,No value available,,,,
2002-04-29,5.10,,,,,
2002-04-30,5.11,,,,,
2002-05-01,.,No value available,,,,
2002-05-02,5.12,,,,,
2002-05-03,5.16,,,,,
2002-05-04,.,No value available,,,,
2002-05-05,.,No value available,,,,
2002-05-06,5.11,,,,,
2002-05-07,5.07,,,,,
2002-05-08,5.13,,,,,
2002-05-09,5.20,,,,,
2002-05-10,5.17,,,,,
2002-05-11,.,No value available,,,,
2002-05-12,.,No value available,,,,
2002-05-13,5.18,,,,,
2002-05-14,5.22,,,,,
2002-05-15,5.25,,,,,
2002-05-16,5.25,,,,,
2002-05-17,5.25,,,,,
2002-05-18,.,No value available,,,,
2002-05-19,.,No value available,,,,
2002-05-20,5.23,,,,,
2002-05-21,5.20,,,,,
2002-05-22,5.16,,,,,
2002-05-23,5.17,,,,,
2002-05-24,5.15,,,,,
2002-05-25,.,No value available,,,,
2002-05-26,.,No value available,,,,
2002-05-27,5.19,,,,,
2002-05-28,5.20,,,,,
2002-05-29,5.16,,,,,
2002-05-30,5.12,,,,,
2002-05-31,5.12,,,,,
2002-06-01,.,No value available,,,,
2002-06-02,.,No value available,,,,
2002-06-03,5.18,,,,,
2002-06-04,5.12,,,,,
2002-06-05,5.13,,,,,
2002-06-06,5.15,,,,,
2002-06-07,5.09,,,,,
2002-06-08,.,No value available,,,,
2002-06-09,.,No value available,,,,
2002-06-10,5.13,,,,,
2002-06-11,5.11,,,,,
2002-06-12,5.09,,,,,
2002-06-13,5.09,,,,,
2002-06-14,4.98,,,,,
2002-06-15,.,No value available,,,,
2002-06-16,.,No value available,,,,
2002-06-17,4.99,,,,,
2002-06-18,4.98,,,,,
2002-06-19,4.95,,,,,
2002-06-20,4.94,,,,,
2002-06-21,4.96,,,,,
2002-06-22,.,No value available,,,,
2002-06-23,.,No value available,,,,
2002-06-24,4.94,,,,,
2002-06-25,4.95,,,,,
2002-06-26,4.88,,,,,
2002-06-27,4.93,,,,,
2002-06-28,4.94,,,,,
2002-06-29,.,No value available,,,,
2002-06-30,.,No value available,,,,
2002-07-01,4.95,,,,,
2002-07-02,4.95,,,,,
2002-07-03,4.94,,,,,
2002-07-04,4.97,,,,,
2002-07-05,5.00,,,,,
2002-07-06,.,No value available,,,,
2002-07-07,.,No value available,,,,
2002-07-08,4.99,,,,,
2002-07-09,5.01,,,,,
2002-07-10,4.95,,,,,
2002-07-11,4.91,,,,,
2002-07-12,4.92,,,,,
2002-07-13,.,No value available,,,,
2002-07-14,.,No value available,,,,
2002-07-15,4.86,,,,,
2002-07-16,4.81,,,,,
2002-07-17,4.89,,,,,
2002-07-18,4.91,,,,,
2002-07-19,4.84,,,,,
2002-07-20,.,No value available,,,,
2002-07-21,.,No value available,,,,
2002-07-22,4.81,,,,,
2002-07-23,4.83,,,,,
2002-07-24,4.76,,,,,
2002-07-25,4.72,,,,,
2002-07-26,4.72,,,,,
2002-07-27,.,No value available,,,,
2002-07-28,.,No value available,,,,
2002-07-29,4.76,,,,,
2002-07-30,4.80,,,,,
2002-07-31,4.80,,,,,
2002-08-01,4.73,,,,,
2002-08-02,4.67,,,,,
2002-08-03,.,No value available,,,,
2002-08-04,.,No value available,,,,
2002-08-05,4.58,,,,,
2002-08-06,4.61,,,,,
2002-08-07,4.62,,,,,
2002-08-08,4.58,,,,,
2002-08-09,4.57,,,,,
2002-08-10,.,No value available,,,,
2002-08-11,.,No value available,,,,
2002-08-12,4.54,,,,,
2002-08-13,4.49,,,,,
2002-08-14,4.45,,,,,
2002-08-15,4.49,,,,,
2002-08-16,4.58,,,,,
2002-08-17,.,No value available,,,,
2002-08-18,.,No value available,,,,
2002-08-19,4.58,,,,,
2002-08-20,4.58,,,,,
2002-08-21,4.60,,,,,
2002-08-22,4.68,,,,,
2002-08-23,4.67,,,,,
2002-08-24,.,No value available,,,,
2002-08-25,.,No value available,,,,
2002-08-26,4.69,,,,,
2002-08-27,4.66,,,,,
2002-08-28,4.61,,,,,
2002-08-29,4.55,,,,,
2002-08-30,4.54,,,,,
2002-08-31,.,No value available,,,,
2002-09-01,.,No value available,,,,
2002-09-02,4.51,,,,,
2002-09-03,4.49,,,,,
2002-09-04,4.42,,,,,
2002-09-05,4.40,,,,,
2002-09-06,4.38,,,,,
2002-09-07,.,No value available,,,,
2002-09-08,.,No value available,,,,
2002-09-09,4.43,,,,,
2002-09-10,4.45,,,,,
2002-09-11,4.48,,,,,
2002-09-12,4.50,,,,,
2002-09-13,4.40,,,,,
2002-09-14,.,No value available,,,,
2002-09-15,.,No value available,,,,
2002-09-16,4.42,,,,,
2002-09-17,4.41,,,,,
2002-09-18,4.32,,,,,
2002-09-19,4.33,,,,,
2002-09-20,4.36,,,,,
2002-09-21,.,No value available,,,,
2002-09-22,.,No value available,,,,
2002-09-23,4.34,,,,,
2002-09-24,4.29,,,,,
2002-09-25,4.31,,,,,
2002-09-26,4.34,,,,,
2002-09-27,4.33,,,,,
2002-09-28,.,No value available,,,,
2002-09-29,.,No value available,,,,
2002-09-30,4.30,,,,,
2002-10-01,4.27,,,,,
2002-10-02,4.36,,,,,
2002-10-03,4.36,,,,,
2002-10-04,4.36,,,,,
2002-10-05,.,No value available,,,,
2002-10-06,.,No value available,,,,
2002-10-07,4.32,,,,,
2002-10-08,4.35,,,,,
2002-10-09,4.31,,,,,
2002-10-10,4.30,,,,,
2002-10-11,4.39,,,,,
2002-10-12,.,No value available,,,,
2002-10-13,.,No value available,,,,
2002-10-14,4.46,,,,,
2002-10-15,4.54,,,,,
2002-10-16,4.57,,,,,
2002-10-17,4.67,,,,,
2002-10-18,4.58,,,,,
2002-10-19,.,No value available,,,,
2002-10-20,.,No value available,,,,
2002-10-21,4.58,,,,,
2002-10-22,4.63,,,,,
2002-10-23,4.59,,,,,
2002-10-24,4.62,,,,,
2002-10-25,4.61,,,,,
2002-10-26,.,No value available,,,,
2002-10-27,.,No value available,,,,
2002-10-28,4.56,,,,,
2002-10-29,4.52,,,,,
2002-10-30,4.52,,,,,
2002-10-31,4.54,,,,,
2002-11-01,4.49,,,,,
2002-11-02,.,No value available,,,,
2002-11-03,.,No value available,,,,
2002-11-04,4.57,,,,,
2002-11-05,4.57,,,,,
2002-11-06,4.65,,,,,
2002-11-07,4.57,,,,,
2002-11-08,4.50,,,,,
2002-11-09,.,No value available,,,,
2002-11-10,.,No value available,,,,
2002-11-11,4.44,,,,,
2002-11-12,4.41,,,,,
2002-11-13,4.41,,,,,
2002-11-14,4.43,,,,,
2002-11-15,4.48,,,,,
2002-11-16,.,No value available,,,,
2002-11-17,.,No value available,,,,
2002-11-18,4.49,,,,,
2002-11-19,4.44,,,,,
2002-11-20,4.44,,,,,
2002-11-21,4.47,,,,,
2002-11-22,4.48,,,,,
2002-11-23,.,No value available,,,,
2002-11-24,.,No value available,,,,
2002-11-25,4.55,,,,,
2002-11-26,4.52,,,,,
2002-11-27,4.49,,,,,
2002-11-28,4.53,,,,,
2002-11-29,4.52,,,,,
2002-11-30,.,No value available,,,,
2002-12-01,.,No value available,,,,
2002-12-02,4.51,,,,,
2002-12-03,4.51,,,,,
2002-12-04,4.48,,,,,
2002-12-05,4.46,,,,,
2002-12-06,4.43,,,,,
2002-12-07,.,No value available,,,,
2002-12-08,.,No value available,,,,
2002-12-09,4.41,,,,,
2002-12-10,4.38,,,,,
2002-12-11,4.40,,,,,
2002-12-12,4.33,,,,,
2002-12-13,4.29,,,,,
2002-12-14,.,No value available,,,,
2002-12-15,.,No value available,,,,
2002-12-16,4.30,,,,,
2002-12-17,4.32,,,,,
2002-12-18,4.30,,,,,
2002-12-19,4.29,,,,,
2002-12-20,4.27,,,,,
2002-12-21,.,No value available,,,,
2002-12-22,.,No value available,,,,
2002-12-23,4.27,,,,,
2002-12-24,.,No value available,,,,
2002-12-25,.,No value available,,,,
2002-12-26,.,No value available,,,,
2002-12-27,4.23,,,,,
2002-12-28,.,No value available,,,,
2002-12-29,.,No value available,,,,
2002-12-30,4.22,,,,,
2002-12-31,.,No value available,,,,
2003-01-01,.,No value available,,,,
2003-01-02,4.22,,,,,
2003-01-03,4.31,,,,,
2003-01-04,.,No value available,,,,
2003-01-05,.,No value available,,,,
2003-01-06,4.35,,,,,
2003-01-07,4.31,,,,,
2003-01-08,4.29,,,,,
2003-01-09,4.26,,,,,
2003-01-10,4.26,,,,,
2003-01-11,.,No value available,,,,
2003-01-12,.,No value available,,,,
2003-01-13,4.30,,,,,
2003-01-14,4.31,,,,,
2003-01-15,4.28,,,,,
2003-01-16,4.25,,,,,
2003-01-17,4.20,,,,,
2003-01-18,.,No value available,,,,
2003-01-19,.,No value available,,,,
2003-01-20,4.18,,,,,
2003-01-21,4.16,,,,,
2003-01-22,4.12,,,,,
2003-01-23,4.13,,,,,
2003-01-24,4.07,,,,,
2003-01-25,.,No value available,,,,
2003-01-26,.,No value available,,,,
2003-01-27,4.01,,,,,
2003-01-28,4.05,,,,,
2003-01-29,4.01,,,,,
2003-01-30,4.08,,,,,
2003-01-31,4.04,,,,,
2003-02-01,.,No value available,,,,
2003-02-02,.,No value available,,,,
2003-02-03,4.09,,,,,
2003-02-04,4.02,,,,,
2003-02-05,4.01,,,,,
2003-02-06,4.05,,,,,
2003-02-07,4.03,,,,,
2003-02-08,.,No value available,,,,
2003-02-09,.,No value available,,,,
2003-02-10,4.01,,,,,
2003-02-11,4.06,,,,,
2003-02-12,3.97,,,,,
2003-02-13,3.94,,,,,
2003-02-14,3.96,,,,,
2003-02-15,.,No value available,,,,
2003-02-16,.,No value available,,,,
2003-02-17,3.99,,,,,
2003-02-18,3.98,,,,,
2003-02-19,3.97,,,,,
2003-02-20,3.90,,,,,
2003-02-21,3.88,,,,,
2003-02-22,.,No value available,,,,
2003-02-23,.,No value available,,,,
2003-02-24,3.88,,,,,
2003-02-25,3.85,,,,,
2003-02-26,3.88,,,,,
2003-02-27,3.88,,,,,
2003-02-28,3.95,,,,,
2003-03-01,.,No value available,,,,
2003-03-02,.,No value available,,,,
2003-03-03,3.91,,,,,
2003-03-04,3.88,,,,,
2003-03-05,3.88,,,,,
2003-03-06,3.88,,,,,
2003-03-07,3.85,,,,,
2003-03-08,.,No value available,,,,
2003-03-09,.,No value available,,,,
2003-03-10,3.81,,,,,
2003-03-11,3.82,,,,,
2003-03-12,3.84,,,,,
2003-03-13,3.88,,,,,
2003-03-14,4.01,,,,,
2003-03-15,.,No value available,,,,
2003-03-16,.,No value available,,,,
2003-03-17,3.98,,,,,
2003-03-18,4.16,,,,,
2003-03-19,4.15,,,,,
2003-03-20,4.20,,,,,
2003-03-21,4.24,,,,,
2003-03-22,.,No value available,,,,
2003-03-23,.,No value available,,,,
2003-03-24,4.21,,,,,
2003-03-25,4.16,,,,,
2003-03-26,4.21,,,,,
2003-03-27,4.12,,,,,
2003-03-28,4.14,,,,,
2003-03-29,.,No value available,,,,
2003-03-30,.,No value available,,,,
2003-03-31,4.06,,,,,
2003-04-01,4.02,,,,,
2003-04-02,4.10,,,,,
2003-04-03,4.19,,,,,
2003-04-04,4.17,,,,,
2003-04-05,.,No value available,,,,
2003-04-06,.,No value available,,,,
2003-04-07,4.26,,,,,
2003-04-08,4.24,,,,,
2003-04-09,4.17,,,,,
2003-04-10,4.14,,,,,
2003-04-11,4.20,,,,,
2003-04-12,.,No value available,,,,
2003-04-13,.,No value available,,,,
2003-04-14,4.23,,,,,
2003-04-15,4.26,,,,,
2003-04-16,4.21,,,,,
2003-04-17,4.15,,,,,
2003-04-18,.,No value available,,,,
2003-04-19,.,No value available,,,,
2003-04-20,.,No value available,,,,
2003-04-21,.,No value available,,,,
2003-04-22,4.15,,,,,
2003-04-23,4.18,,,,,
2003-04-24,4.14,,,,,
2003-04-25,4.10,,,,,
2003-04-26,.,No value available,,,,
2003-04-27,.,No value available,,,,
2003-04-28,4.09,,,,,
2003-04-29,4.15,,,,,
2003-04-30,4.14,,,,,
2003-05-01,.,No value available,,,,
2003-05-02,4.05,,,,,
2003-05-03,.,No value available,,,,
2003-05-04,.,No value available,,,,
2003-05-05,4.10,,,,,
2003-05-06,4.07,,,,,
2003-05-07,4.01,,,,,
2003-05-08,3.93,,,,,
2003-05-09,3.92,,,,,
2003-05-10,.,No value available,,,,
2003-05-11,.,No value available,,,,
2003-05-12,3.88,,,,,
2003-05-13,3.92,,,,,
2003-05-14,3.93,,,,,
2003-05-15,3.87,,,,,
2003-05-16,3.85,,,,,
2003-05-17,.,No value available,,,,
2003-05-18,.,No value available,,,,
2003-05-19,3.76,,,,,
2003-05-20,3.79,,,,,
2003-05-21,3.73,,,,,
2003-05-22,3.73,,,,,
2003-05-23,3.66,,,,,
2003-05-24,.,No value available,,,,
2003-05-25,.,No value available,,,,
2003-05-26,3.64,,,,,
2003-05-27,3.59,,,,,
2003-05-28,3.74,,,,,
2003-05-29,3.79,,,,,
2003-05-30,3.65,,,,,
2003-05-31,.,No value available,,,,
2003-06-01,.,No value available,,,,
2003-06-02,3.74,,,,,
2003-06-03,3.72,,,,,
2003-06-04,3.62,,,,,
2003-06-05,3.67,,,,,
2003-06-06,3.61,,,,,
2003-06-07,.,No value available,,,,
2003-06-08,.,No value available,,,,
2003-06-09,3.61,,,,,
2003-06-10,3.60,,,,,
2003-06-11,3.57,,,,,
2003-06-12,3.56,,,,,
2003-06-13,3.49,,,,,
2003-06-14,.,No value available,,,,
2003-06-15,.,No value available,,,,
2003-06-16,3.44,,,,,
2003-06-17,3.51,,,,,
2003-06-18,3.64,,,,,
2003-06-19,3.70,,,,,
2003-06-20,3.63,,,,,
2003-06-21,.,No value available,,,,
2003-06-22,.,No value available,,,,
2003-06-23,3.71,,,,,
2003-06-24,3.67,,,,,
2003-06-25,3.63,,,,,
2003-06-26,3.74,,,,,
2003-06-27,3.84,,,,,
2003-06-28,.,No value available,,,,
2003-06-29,.,No value available,,,,
2003-06-30,3.83,,,,,
2003-07-01,3.79,,,,,
2003-07-02,3.93,,,,,
2003-07-03,3.98,,,,,
2003-07-04,3.94,,,,,
2003-07-05,.,No value available,,,,
2003-07-06,.,No value available,,,,
2003-07-07,3.97,,,,,
2003-07-08,4.01,,,,,
2003-07-09,3.94,,,,,
2003-07-10,3.93,,,,,
2003-07-11,3.93,,,,,
2003-07-12,.,No value available,,,,
2003-07-13,.,No value available,,,,
2003-07-14,3.86,,,,,
2003-07-15,3.95,,,,,
2003-07-16,4.07,,,,,
2003-07-17,4.03,,,,,
2003-07-18,4.02,,,,,
2003-07-19,.,No value available,,,,
2003-07-20,.,No value available,,,,
2003-07-21,4.06,,,,,
2003-07-22,4.09,,,,,
2003-07-23,4.05,,,,,
2003-07-24,4.01,,,,,
2003-07-25,4.04,,,,,
2003-07-26,.,No value available,,,,
2003-07-27,.,No value available,,,,
2003-07-28,4.06,,,,,
2003-07-29,4.13,,,,,
2003-07-30,4.15,,,,,
2003-07-31,4.08,,,,,
2003-08-01,4.21,,,,,
2003-08-02,.,No value available,,,,
2003-08-03,.,No value available,,,,
2003-08-04,4.16,,,,,
2003-08-05,4.13,,,,,
2003-08-06,4.18,,,,,
2003-08-07,4.12,,,,,
2003-08-08,4.06,,,,,
2003-08-09,.,No value available,,,,
2003-08-10,.,No value available,,,,
2003-08-11,4.05,,,,,
2003-08-12,4.05,,,,,
2003-08-13,4.12,,,,,
2003-08-14,4.18,,,,,
2003-08-15,4.17,,,,,
2003-08-16,.,No value available,,,,
2003-08-17,.,No value available,,,,
2003-08-18,4.19,,,,,
2003-08-19,4.20,,,,,
2003-08-20,4.12,,,,,
2003-08-21,4.19,,,,,
2003-08-22,4.18,,,,,
2003-08-23,.,No value available,,,,
2003-08-24,.,No value available,,,,
2003-08-25,4.15,,,,,
2003-08-26,4.19,,,,,
2003-08-27,4.17,,,,,
2003-08-28,4.22,,,,,
2003-08-29,4.20,,,,,
2003-08-30,.,No value available,,,,
2003-08-31,.,No value available,,,,
2003-09-01,4.20,,,,,
2003-09-02,4.33,,,,,
2003-09-03,4.35,,,,,
2003-09-04,4.36,,,,,
2003-09-05,4.31,,,,,
2003-09-06,.,No value available,,,,
2003-09-07,.,No value available,,,,
2003-09-08,4.29,,,,,
2003-09-09,4.29,,,,,
2003-09-10,4.27,,,,,
2003-09-11,4.23,,,,,
2003-09-12,4.25,,,,,
2003-09-13,.,No value available,,,,
2003-09-14,.,No value available,,,,
2003-09-15,4.18,,,,,
2003-09-16,4.18,,,,,
2003-09-17,4.20,,,,,
2003-09-18,4.14,,,,,
2003-09-19,4.15,,,,,
2003-09-20,.,No value available,,,,
2003-09-21,.,No value available,,,,
2003-09-22,4.11,,,,,
2003-09-23,4.11,,,,,
2003-09-24,4.12,,,,,
2003-09-25,4.08,,,,,
2003-09-26,4.08,,,,,
2003-09-27,.,No value available,,,,
2003-09-28,.,No value available,,,,
2003-09-29,4.07,,,,,
2003-09-30,4.04,,,,,
2003-10-01,4.00,,,,,
2003-10-02,4.06,,,,,
2003-10-03,4.11,,,,,
2003-10-04,.,No value available,,,,
2003-10-05,.,No value available,,,,
2003-10-06,4.19,,,,,
2003-10-07,4.18,,,,,
2003-10-08,4.22,,,,,
2003-10-09,4.21,,,,,
2003-10-10,4.24,,,,,
2003-10-11,.,No value available,,,,
2003-10-12,.,No value available,,,,
2003-10-13,4.27,,,,,
2003-10-14,4.29,,,,,
2003-10-15,4.31,,,,,
2003-10-16,4.32,,,,,
2003-10-17,4.36,,,,,
2003-10-18,.,No value available,,,,
2003-10-19,.,No value available,,,,
2003-10-20,4.34,,,,,
2003-10-21,4.32,,,,,
2003-10-22,4.29,,,,,
2003-10-23,4.21,,,,,
2003-10-24,4.27,,,,,
2003-10-25,.,No value available,,,,
2003-10-26,.,No value available,,,,
2003-10-27,4.30,,,,,
2003-10-28,4.31,,,,,
2003-10-29,4.31,,,,,
2003-10-30,4.35,,,,,
2003-10-31,4.35,,,,,
2003-11-01,.,No value available,,,,
2003-11-02,.,No value available,,,,
2003-11-03,4.36,,,,,
2003-11-04,4.37,,,,,
2003-11-05,4.37,,,,,
2003-11-06,4.41,,,,,
2003-11-07,4.45,,,,,
2003-11-08,.,No value available,,,,
2003-11-09,.,No value available,,,,
2003-11-10,4.48,,,,,
2003-11-11,4.47,,,,,
2003-11-12,4.49,,,,,
2003-11-13,4.47,,,,,
2003-11-14,4.38,,,,,
2003-11-15,.,No value available,,,,
2003-11-16,.,No value available,,,,
2003-11-17,4.33,,,,,
2003-11-18,4.34,,,,,
2003-11-19,4.29,,,,,
2003-11-20,4.33,,,,,
2003-11-21,4.33,,,,,
2003-11-22,.,No value available,,,,
2003-11-23,.,No value available,,,,
2003-11-24,4.38,,,,,
2003-11-25,4.41,,,,,
2003-11-26,4.39,,,,,
2003-11-27,4.44,,,,,
2003-11-28,4.44,,,,,
2003-11-29,.,No value available,,,,
2003-11-30,.,No value available,,,,
2003-12-01,4.47,,,,,
2003-12-02,4.47,,,,,
2003-12-03,4.46,,,,,
2003-12-04,4.47,,,,,
2003-12-05,4.43,,,,,
2003-12-06,.,No value available,,,,
2003-12-07,.,No value available,,,,
2003-12-08,4.33,,,,,
2003-12-09,4.34,,,,,
2003-12-10,4.37,,,,,
2003-12-11,4.37,,,,,
2003-12-12,4.34,,,,,
2003-12-13,.,No value available,,,,
2003-12-14,.,No value available,,,,
2003-12-15,4.33,,,,,
2003-12-16,4.29,,,,,
2003-12-17,4.28,,,,,
2003-12-18,4.22,,,,,
2003-12-19,4.25,,,,,
2003-12-20,.,No value available,,,,
2003-12-21,.,No value available,,,,
2003-12-22,4.25,,,,,
2003-12-23,4.25,,,,,
2003-12-24,.,No value available,,,,
2003-12-25,.,No value available,,,,
2003-12-26,.,No value available,,,,
2003-12-27,.,No value available,,,,
2003-12-28,.,No value available,,,,
2003-12-29,4.23,,,,,
2003-12-30,4.30,,,,,
2003-12-31,.,No value available,,,,
2004-01-01,.,No value available,,,,
2004-01-02,4.25,,,,,
2004-01-03,.,No value available,,,,
2004-01-04,.,No value available,,,,
2004-01-05,4.33,,,,,
2004-01-06,4.29,,,,,
2004-01-07,4.28,,,,,
2004-01-08,4.27,,,,,
2004-01-09,4.21,,,,,
2004-01-10,.,No value available,,,,
2004-01-11,.,No value available,,,,
2004-01-12,4.13,,,,,
2004-01-13,4.14,,,,,
2004-01-14,4.15,,,,,
2004-01-15,4.14,,,,,
